Reference_Image,Distorted_Image,SSIM_Score,UQI_Score,FSIM_Score,GMSD_Score,MSSSIM_Score
03.bmp,03_03.bmp,0.9015212076364232,0.9928997811004618,0.19389979835685162,0.06252275826730934,0.9999850988388062
03.bmp,03_04.bmp,0.8945294568196348,0.9902541530769786,0.19539357654646272,0.0689283694697177,0.9999755620956421
03.bmp,03_05.bmp,0.8892698138915417,0.9870410574723419,0.19282014110571033,0.07460304443257787,0.9999627768993378
03.bmp,03_01.bmp,0.9180571782703673,0.9961667631447397,0.20518579208635013,0.045126372032577786,0.999994307756424
03.bmp,03_02.bmp,0.9095839028507058,0.9950552019912356,0.19627373306841722,0.0517367373512916,0.9999912679195404
02.bmp,02_04.bmp,0.8567274951491286,0.9705330900762164,0.22212100821520436,0.1301645820016128,0.9999244511127472
02.bmp,02_05.bmp,0.8476718365367746,0.9637523276490025,0.21588781904953533,0.13840650408999378,0.9998981952667236
02.bmp,02_01.bmp,0.8941152637299448,0.9901341944829828,0.22375725497765003,0.08144646432367567,0.9999839663505554
02.bmp,02_02.bmp,0.883515383185509,0.9861280186351595,0.219783724546214,0.09658451566605011,0.9999744594097137
02.bmp,02_03.bmp,0.8685269367414966,0.9788125955058198,0.22175721627615808,0.11724081496641905,0.9999547898769379
08.bmp,08_01.bmp,0.9113734212130934,0.9925960279667413,0.2313668874302647,0.05957069319025841,0.9999899566173553
08.bmp,08_02.bmp,0.9001794747226458,0.9890100597652246,0.2267294348251342,0.07086536417777137,0.9999814629554749
08.bmp,08_05.bmp,0.8678864529032995,0.9692642891729084,0.22444489270806878,0.09149488727983485,0.9999164342880249
08.bmp,08_03.bmp,0.8876522145439214,0.9837902289838433,0.22468090876588748,0.07834644301218915,0.9999655187129974
08.bmp,08_04.bmp,0.8764865092996075,0.976778984868141,0.22750576282815477,0.08637672525880502,0.9999427795410156
07.bmp,07_04.bmp,0.826315408402259,0.9634626025562754,0.23073100750640205,0.15824096396423465,0.9998498260974884
07.bmp,07_02.bmp,0.8663874099134835,0.9821498592531407,0.23477895627937773,0.12847913832967278,0.9999456107616425
07.bmp,07_01.bmp,0.8891186123077647,0.9879845934486484,0.2417314837088161,0.11275936079678141,0.9999701082706451
07.bmp,07_05.bmp,0.8157809161343482,0.9561760211944749,0.23878597968489124,0.16567147658501286,0.9998065233230591
07.bmp,07_03.bmp,0.84693514347056,0.9744980243944643,0.23515146447865015,0.14463955392697914,0.9999089241027832
04.bmp,04_02.bmp,0.8658367533432536,0.9878872172101949,0.20690202436306399,0.08802475686867411,0.9999750852584839
04.bmp,04_04.bmp,0.8443931670450906,0.9726989584971196,0.1977678855641251,0.11668402694758503,0.999920129776001
04.bmp,04_03.bmp,0.8547490694953942,0.9814396351599182,0.19882112157957715,0.10571046527408683,0.9999553263187408
04.bmp,04_01.bmp,0.8752107149992356,0.9915828250852867,0.21779127963526523,0.07415083724078264,0.9999850690364838
04.bmp,04_05.bmp,0.8393730524376893,0.9668360755591662,0.2055939338489982,0.12563921299997685,0.9998969733715057
01.bmp,01_05.bmp,0.8182210446511201,0.9761906221563431,0.2399167152159186,0.16270025053986392,0.9998099505901337
01.bmp,01_01.bmp,0.8859981600878497,0.9936942842541123,0.23965651228242207,0.10938288925178252,0.9999715387821198
01.bmp,01_02.bmp,0.8662688394133572,0.9906568667105267,0.23471972760537013,0.12520813008485848,0.9999487996101379
01.bmp,01_04.bmp,0.8288915070439264,0.9808138319001523,0.23132089797792044,0.15617505706757717,0.9998610019683838
01.bmp,01_03.bmp,0.8463489337155615,0.9863894906243652,0.23233760737095338,0.14329927396616493,0.9999144971370697
06.bmp,06_05.bmp,0.8894572783250485,0.973576752022874,0.16822111052043737,0.10516203862147143,0.9999570548534393
06.bmp,06_02.bmp,0.91038693606257,0.9889513929593499,0.16864954220685036,0.06914852002037036,0.9999879896640778
06.bmp,06_01.bmp,0.9170677881160375,0.9919404840209562,0.17275339987778965,0.059183716815855436,0.999992161989212
06.bmp,06_04.bmp,0.8955528019274256,0.9787796300704648,0.16558058321477803,0.09758609427948209,0.9999699890613556
06.bmp,06_03.bmp,0.9028230622519778,0.9842673852154947,0.16710996026105557,0.08464031403831736,0.9999810755252838
05.bmp,05_01.bmp,0.9257434002621558,0.9972917943356796,0.1694178863358629,0.04621019738254936,0.9999945759773254
05.bmp,05_04.bmp,0.9050156302007732,0.9923385996145815,0.16296316353655063,0.07514573699345034,0.9999759495258331
05.bmp,05_03.bmp,0.9131698418481435,0.9946058541656578,0.16430351484971228,0.06618992544443048,0.9999854862689972
05.bmp,05_02.bmp,0.9206710657745096,0.9963028483327859,0.16290275266516657,0.05500106425513852,0.9999915063381195
05.bmp,05_05.bmp,0.8990873515033719,0.9897860287546787,0.16794547042944563,0.08263986440018609,0.999963104724884
10.bmp,10_01.bmp,0.9393089456973656,0.9954203938404942,0.2454554182731407,0.04209273424216467,0.999992161989212
10.bmp,10_05.bmp,0.8907335454783225,0.9772003966363414,0.2292662114958316,0.0725123234546513,0.9999344646930695
10.bmp,10_03.bmp,0.9105138343705799,0.9876169284450742,0.23403872555124444,0.06281345719335357,0.9999709725379944
10.bmp,10_02.bmp,0.9266648295769957,0.9928341815096104,0.23956080349945164,0.05138688887543513,0.9999861121177673
10.bmp,10_04.bmp,0.898590362853705,0.9820199705641386,0.23427179445588928,0.0683914264156256,0.9999513328075409
09.bmp,09_01.bmp,0.9152129610469839,0.9911397256855555,0.19679519442572155,0.06436491377778004,0.9999904930591583
09.bmp,09_03.bmp,0.8979441612145891,0.9796314480367726,0.19231869264788,0.09597702787065064,0.9999713003635406
09.bmp,09_04.bmp,0.8902242502837896,0.9720814718679445,0.1982284774537365,0.11048920672051193,0.9999546706676483
09.bmp,09_05.bmp,0.8821853937963942,0.9629029194732345,0.19871171872417218,0.12059506362434846,0.9999307096004486
09.bmp,09_02.bmp,0.907691598822183,0.9868750339509853,0.19390429839958886,0.07771704124935014,0.9999838769435883
15.bmp,15_01.bmp,0.9325737076266629,0.9937035181756986,0.21543972396843136,0.049443159955818244,0.9999924600124359
15.bmp,15_04.bmp,0.903374099740458,0.981037851054369,0.20303762394948366,0.08653565483605366,0.9999684989452362
15.bmp,15_05.bmp,0.8980328960340758,0.9770718203013445,0.2029779992266907,0.09072596278989713,0.9999566376209259
15.bmp,15_03.bmp,0.9136153958012839,0.9863169739092599,0.20754374613359036,0.07517527247509961,0.9999792873859406
15.bmp,15_02.bmp,0.9226921449036357,0.990861097426609,0.20844250325758823,0.059689125516104946,0.9999874234199524
18.bmp,18_01.bmp,0.917431466055797,0.9968193588591328,0.47122996687063384,0.060221041921412276,0.9999815225601196
18.bmp,18_02.bmp,0.8905724957325936,0.9946779945880824,0.4458751292708074,0.07312288773207229,0.999965488910675
18.bmp,18_03.bmp,0.8672989065142174,0.9917836949976518,0.4215509698977123,0.08425201424364741,0.9999409019947052
18.bmp,18_05.bmp,0.8330839026789842,0.9830988311041495,0.3899636589638452,0.10139893884452816,0.9998601675033569
18.bmp,18_04.bmp,0.8476699935382608,0.988065830226753,0.39919078921043133,0.09236839380191497,0.9999058842658997
14.bmp,14_03.bmp,0.9120394132695295,0.9880112309958728,0.19898303503187256,0.08094438636068904,0.9999756813049316
14.bmp,14_02.bmp,0.9219313838071015,0.9920951670237147,0.199907232236262,0.0667512956156201,0.9999860525131226
14.bmp,14_01.bmp,0.930420114630988,0.9947707714180336,0.19965418000715796,0.05382299810324932,0.9999914467334747
14.bmp,14_05.bmp,0.8964019853797278,0.9793291902007811,0.20458035317119602,0.09553398298937349,0.9999443292617798
14.bmp,14_04.bmp,0.9025061462071149,0.983147584192069,0.20536729492486855,0.08967561569993562,0.9999585151672363
16.bmp,16_02.bmp,0.8266491983073039,0.9612903248985022,0.3167831337037483,0.23467744405885593,0.9998842179775238
16.bmp,16_01.bmp,0.8509089715305787,0.9706865727355212,0.33264392154857025,0.20106071427131306,0.9999162256717682
16.bmp,16_04.bmp,0.7837390961458368,0.9406850266291509,0.28219633634010866,0.28415080642707957,0.9997765719890594
16.bmp,16_03.bmp,0.8006942068773576,0.9500103133223557,0.295976210672821,0.2648771127284032,0.9998308420181274
16.bmp,16_05.bmp,0.7721187354816804,0.9341870738027589,0.268317276935392,0.3046312302980715,0.9997409880161285
13.bmp,13_01.bmp,0.953989764350449,0.998454105753136,0.28823831557136975,0.04027400859342861,0.9999924600124359
13.bmp,13_04.bmp,0.9192393020111849,0.992033536043488,0.28267794496032894,0.07011406486383366,0.9999400973320007
13.bmp,13_03.bmp,0.9298190637523822,0.9950866901182462,0.28278519307051747,0.05846454546326335,0.999966025352478
13.bmp,13_02.bmp,0.9453998783630976,0.9975841425030494,0.2847723665080125,0.046522202465506174,0.9999859631061554
13.bmp,13_05.bmp,0.9076295344582157,0.9885596717109013,0.2749737168980869,0.0748033300965173,0.9999071657657623
12.bmp,12_02.bmp,0.9546007162262604,0.9980456507350914,0.24264643572015226,0.026527840487137567,0.9999966025352478
12.bmp,12_04.bmp,0.9460219632365191,0.9961470260383078,0.24150571699018603,0.03529184590717116,0.999989926815033
12.bmp,12_05.bmp,0.9416602867607029,0.994645722746882,0.24526936497760093,0.03818688236045606,0.9999836385250092
12.bmp,12_03.bmp,0.9503416460518408,0.9972553640088337,0.2382683259442002,0.031623527698663556,0.9999939501285553
12.bmp,12_01.bmp,0.9585828149581952,0.9984295144292111,0.24782993777333745,0.02436275259790436,0.9999977052211761
11.bmp,11_01.bmp,0.941940117265327,0.9969788083854132,0.20953242783466702,0.03810128248612778,0.9999945759773254
11.bmp,11_02.bmp,0.9346521858968286,0.9954209269725087,0.20520126279577622,0.04688618626885332,0.9999902546405792
11.bmp,11_03.bmp,0.9281256515584111,0.9928853191400439,0.20306277673617393,0.059297126557252,0.9999834597110748
11.bmp,11_04.bmp,0.9193761834093238,0.9883929983387912,0.20811462344388498,0.06852384486309132,0.999966949224472
11.bmp,11_05.bmp,0.9145595627494632,0.9850804265089297,0.20247072224129117,0.07516732588188843,0.9999549388885498
17.bmp,17_05.bmp,0.7810214930081671,0.9848166404514388,0.30658799825144356,0.24092211175687223,0.9997591972351074
17.bmp,17_03.bmp,0.8043990205343744,0.9907309792678812,0.2879708930542254,0.20612767119614894,0.9998846054077148
17.bmp,17_02.bmp,0.8232882147633404,0.9938664828056085,0.2861912212357514,0.16899232095915023,0.9999289214611053
17.bmp,17_04.bmp,0.7875766644691968,0.9876024338152924,0.31085675328833184,0.22412459520498915,0.9998191297054291
17.bmp,17_01.bmp,0.8450725697097505,0.9959801657684745,0.2850781161147736,0.13919434382687101,0.9999572336673737
19.bmp,19_05.bmp,0.5565295412445874,0.9413374196576871,0.32211763524304293,0.3132758903159607,0.9993916451931
19.bmp,19_02.bmp,0.6451423982385373,0.9686693440137455,0.3740614572910803,0.27638589464157953,0.9997563362121582
19.bmp,19_01.bmp,0.6941437474742265,0.9764286023224571,0.4034853335802356,0.2503972596474598,0.9998405575752258
19.bmp,19_04.bmp,0.5699766056150004,0.9484571572212601,0.329895716157391,0.30858644706701266,0.9994948208332062
19.bmp,19_03.bmp,0.60414339367809,0.9591446408375202,0.35376346496231825,0.29312742460931485,0.9996347725391388
20.bmp,20_03.bmp,0.7872998102380933,0.9862698519532774,0.3339173354266637,0.17351061122324535,0.9998766481876373
20.bmp,20_02.bmp,0.811033168811448,0.9897074888213473,0.34211547772479733,0.1564456473234714,0.9999198317527771
20.bmp,20_01.bmp,0.8330071816159196,0.9928381449929133,0.35079347447294973,0.13325242323875736,0.9999492466449738
20.bmp,20_05.bmp,0.7603744983113677,0.9788475479257902,0.3262580947978708,0.19909185882213348,0.999769389629364
20.bmp,20_04.bmp,0.7694423554897462,0.9823733803739017,0.32486986906202664,0.18507274805343568,0.9998200833797455
