Reference_Image,Distorted_Image,Average_SSIM_Score
03.bmp,03_03.bmp,0.9015212076364232
03.bmp,03_04.bmp,0.8945294568196348
03.bmp,03_05.bmp,0.8892698138915417
03.bmp,03_01.bmp,0.9180571782703673
03.bmp,03_02.bmp,0.9095839028507058
02.bmp,02_04.bmp,0.8567274951491286
02.bmp,02_05.bmp,0.8476718365367746
02.bmp,02_01.bmp,0.8941152637299448
02.bmp,02_02.bmp,0.883515383185509
02.bmp,02_03.bmp,0.8685269367414966
08.bmp,08_01.bmp,0.9113734212130934
08.bmp,08_02.bmp,0.9001794747226458
08.bmp,08_05.bmp,0.8678864529032995
08.bmp,08_03.bmp,0.8876522145439214
08.bmp,08_04.bmp,0.8764865092996075
07.bmp,07_04.bmp,0.826315408402259
07.bmp,07_02.bmp,0.8663874099134835
07.bmp,07_01.bmp,0.8891186123077647
07.bmp,07_05.bmp,0.8157809161343482
07.bmp,07_03.bmp,0.84693514347056
04.bmp,04_02.bmp,0.8658367533432536
04.bmp,04_04.bmp,0.8443931670450906
04.bmp,04_03.bmp,0.8547490694953942
04.bmp,04_01.bmp,0.8752107149992356
04.bmp,04_05.bmp,0.8393730524376893
01.bmp,01_05.bmp,0.8182210446511201
01.bmp,01_01.bmp,0.8859981600878497
01.bmp,01_02.bmp,0.8662688394133572
01.bmp,01_04.bmp,0.8288915070439264
01.bmp,01_03.bmp,0.8463489337155615
06.bmp,06_05.bmp,0.8894572783250485
06.bmp,06_02.bmp,0.91038693606257
06.bmp,06_01.bmp,0.9170677881160375
06.bmp,06_04.bmp,0.8955528019274256
06.bmp,06_03.bmp,0.9028230622519778
05.bmp,05_01.bmp,0.9257434002621558
05.bmp,05_04.bmp,0.9050156302007732
05.bmp,05_03.bmp,0.9131698418481435
05.bmp,05_02.bmp,0.9206710657745096
05.bmp,05_05.bmp,0.8990873515033719
10.bmp,10_01.bmp,0.9393089456973656
10.bmp,10_05.bmp,0.8907335454783225
10.bmp,10_03.bmp,0.9105138343705799
10.bmp,10_02.bmp,0.9266648295769957
10.bmp,10_04.bmp,0.898590362853705
09.bmp,09_01.bmp,0.9152129610469839
09.bmp,09_03.bmp,0.8979441612145891
09.bmp,09_04.bmp,0.8902242502837896
09.bmp,09_05.bmp,0.8821853937963942
09.bmp,09_02.bmp,0.907691598822183
15.bmp,15_01.bmp,0.9325737076266629
15.bmp,15_04.bmp,0.903374099740458
15.bmp,15_05.bmp,0.8980328960340758
15.bmp,15_03.bmp,0.9136153958012839
15.bmp,15_02.bmp,0.9226921449036357
18.bmp,18_01.bmp,0.917431466055797
18.bmp,18_02.bmp,0.8905724957325936
18.bmp,18_03.bmp,0.8672989065142174
18.bmp,18_05.bmp,0.8330839026789842
18.bmp,18_04.bmp,0.8476699935382608
14.bmp,14_03.bmp,0.9120394132695295
14.bmp,14_02.bmp,0.9219313838071015
14.bmp,14_01.bmp,0.930420114630988
14.bmp,14_05.bmp,0.8964019853797278
14.bmp,14_04.bmp,0.9025061462071149
16.bmp,16_02.bmp,0.8266491983073039
16.bmp,16_01.bmp,0.8509089715305787
16.bmp,16_04.bmp,0.7837390961458368
16.bmp,16_03.bmp,0.8006942068773576
16.bmp,16_05.bmp,0.7721187354816804
13.bmp,13_01.bmp,0.953989764350449
13.bmp,13_04.bmp,0.9192393020111849
13.bmp,13_03.bmp,0.9298190637523822
13.bmp,13_02.bmp,0.9453998783630976
13.bmp,13_05.bmp,0.9076295344582157
12.bmp,12_02.bmp,0.9546007162262604
12.bmp,12_04.bmp,0.9460219632365191
12.bmp,12_05.bmp,0.9416602867607029
12.bmp,12_03.bmp,0.9503416460518408
12.bmp,12_01.bmp,0.9585828149581952
11.bmp,11_01.bmp,0.941940117265327
11.bmp,11_02.bmp,0.9346521858968286
11.bmp,11_03.bmp,0.9281256515584111
11.bmp,11_04.bmp,0.9193761834093238
11.bmp,11_05.bmp,0.9145595627494632
17.bmp,17_05.bmp,0.7810214930081671
17.bmp,17_03.bmp,0.8043990205343744
17.bmp,17_02.bmp,0.8232882147633404
17.bmp,17_04.bmp,0.7875766644691968
17.bmp,17_01.bmp,0.8450725697097505
19.bmp,19_05.bmp,0.5565295412445874
19.bmp,19_02.bmp,0.6451423982385373
19.bmp,19_01.bmp,0.6941437474742265
19.bmp,19_04.bmp,0.5699766056150004
19.bmp,19_03.bmp,0.60414339367809
20.bmp,20_03.bmp,0.7872998102380933
20.bmp,20_02.bmp,0.811033168811448
20.bmp,20_01.bmp,0.8330071816159196
20.bmp,20_05.bmp,0.7603744983113677
20.bmp,20_04.bmp,0.7694423554897462
